date,name,words
"January 8, 1790",George Washington,1089
"December 8, 1790",George Washington,1401
"October 25, 1791",George Washington,2302
"November 6, 1792",George Washington,2101
"December 3, 1793",George Washington,1968
"November 19, 1794",George Washington,2918
"December 8, 1795",George Washington,1989
"December 7, 1796",George Washington,2871
"November 22, 1797",John Adams,2063
"December 8, 1798",John Adams,2218
"December 3, 1799",John Adams,1505
"November 22, 1800",John Adams,1372
"December 8, 1801",Thomas Jefferson,3224
"December 15, 1802",Thomas Jefferson,2197
"October 17, 1803",Thomas Jefferson,2263
